Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career1,Career2,Career3
A,A,D,B,A,C,C,A,B,A,A,B,Cloud Engineer,Cybersecurity,Backend Developer
C,B,B,A,C,A,A,D,C,B,D,D,Data Scientist,AI Engineer,Software Developer
B,B,D,A,A,D,B,D,D,A,D,B,Data Scientist,AI Engineer,Software Developer
C,A,D,B,B,B,B,A,B,C,A,C,Data Scientist,AI Engineer,Researcher
C,B,A,C,C,D,B,C,B,A,B,A,Researcher,Data Scientist,AI Engineer
C,D,A,D,A,B,B,A,D,D,C,A,UX Designer,Researcher,Data Scientist
C,D,D,B,B,C,C,D,B,B,B,D,Data Scientist,UX Designer,AI Engineer
B,A,C,C,A,C,B,A,A,C,A,D,Data Scientist,Software Developer,AI Engineer
C,C,C,A,A,A,B,C,A,A,C,B,Data Scientist,Researcher,AI Engineer
B,D,C,C,B,B,B,C,A,D,B,D,UX Designer,Data Scientist,AI Engineer
C,B,B,A,D,D,D,B,B,A,C,A,Software Developer,AI Engineer,Researcher
D,C,D,C,D,B,B,C,C,B,C,A,Product Manager,Data Scientist,UI/UX Designer
C,D,C,D,D,B,D,A,D,D,D,D,AI Engineer,UX Designer,Researcher
A,B,A,B,C,B,B,B,C,A,C,A,Software Developer,Cloud Engineer,Cybersecurity
A,A,B,D,C,A,B,D,A,D,B,D,Cloud Engineer,Cybersecurity,Backend Developer
A,B,B,C,D,C,A,A,C,A,A,B,Software Developer,Backend Developer,Cybersecurity
D,D,C,A,B,B,B,A,B,C,B,B,Entrepreneur,UI/UX Designer,UX Designer
B,C,D,A,D,B,D,C,D,B,A,C,Software Developer,Data Scientist,AI Engineer
B,D,D,D,D,C,D,C,B,C,D,B,UX Designer,Data Scientist,Software Developer
C,A,A,D,A,D,D,B,B,C,A,B,Researcher,Data Scientist,AI Engineer
C,D,A,B,A,B,C,D,D,C,D,D,Data Scientist,Researcher,AI Engineer
B,C,B,A,B,A,B,D,D,D,D,D,Data Scientist,AI Engineer,Software Developer
B,D,D,D,D,A,D,B,B,B,D,C,Data Scientist,AI Engineer,Software Developer
B,A,D,B,D,D,B,C,C,A,C,A,Data Scientist,AI Engineer,Software Developer
C,A,B,A,B,D,B,C,A,C,D,D,Researcher,AI Engineer,Data Scientist
D,D,A,A,B,C,A,B,C,D,A,C,UI/UX Designer,Entrepreneur,Product Manager
C,D,D,B,A,B,A,A,B,D,A,B,UX Designer,Data Scientist,Researcher
B,C,B,C,A,B,D,D,B,A,D,A,Data Scientist,AI Engineer,Software Developer
B,A,C,D,A,B,B,C,B,B,A,A,Data Scientist,Software Developer,AI Engineer
B,D,A,A,B,A,A,C,C,D,C,A,Software Developer,AI Engineer,UX Designer
A,D,A,D,C,A,C,D,A,D,D,A,Cloud Engineer,Cybersecurity,Backend Developer
C,D,A,A,A,B,B,C,C,C,D,D,Data Scientist,Researcher,UX Designer
B,B,D,C,C,B,A,B,C,B,A,B,Software Developer,Data Scientist,AI Engineer
B,C,B,A,D,C,B,C,B,B,D,A,Software Developer,Data Scientist,AI Engineer
C,A,A,C,D,A,D,D,D,C,B,B,Researcher,Data Scientist,AI Engineer
B,C,B,A,B,A,C,B,C,C,A,A,Data Scientist,AI Engineer,Software Developer
B,D,C,D,D,D,C,C,A,C,B,D,UX Designer,AI Engineer,Data Scientist
A,B,C,C,A,C,C,A,B,C,C,C,Cybersecurity,Backend Developer,Software Developer
A,A,D,C,C,C,A,C,D,D,C,B,Cloud Engineer,Backend Developer,Cybersecurity
B,A,B,B,B,A,A,B,A,B,D,D,AI Engineer,Software Developer,Data Scientist
C,C,C,D,C,B,C,D,B,B,D,C,AI Engineer,Data Scientist,Researcher
B,C,B,D,A,D,C,C,D,C,A,C,AI Engineer,Software Developer,Data Scientist
C,C,C,B,B,D,A,A,B,C,C,C,Researcher,Data Scientist,AI Engineer
C,D,B,C,D,D,B,B,C,A,D,D,AI Engineer,Researcher,Data Scientist
C,A,A,D,B,B,A,B,D,C,A,C,Data Scientist,AI Engineer,Researcher
A,A,D,D,B,D,C,C,A,B,C,C,Cloud Engineer,Cybersecurity,Backend Developer
B,C,B,C,A,C,A,B,A,A,C,A,AI Engineer,Software Developer,Data Scientist
B,B,A,C,A,B,D,B,A,A,A,B,AI Engineer,Data Scientist,Software Developer
C,A,C,D,A,C,A,C,D,B,A,C,Data Scientist,AI Engineer,Researcher
A,C,D,B,D,D,D,D,D,B,B,D,Data Scientist,Backend Developer,Cloud Engineer
A,D,D,D,D,D,A,A,D,C,C,D,Cloud Engineer,UX Designer,Backend Developer
B,B,D,B,B,B,D,C,C,A,A,D,AI Engineer,Software Developer,Data Scientist
B,A,B,A,A,A,D,A,B,B,D,B,AI Engineer,Data Scientist,Software Developer
C,C,B,D,C,B,C,A,C,A,C,B,AI Engineer,Researcher,Data Scientist
D,A,B,C,A,D,B,C,B,A,D,C,Product Manager,UI/UX Designer,Entrepreneur
C,D,D,D,D,C,D,B,D,D,C,D,Data Scientist,UX Designer,AI Engineer
B,D,B,C,B,D,B,C,D,C,D,A,AI Engineer,Data Scientist,Software Developer
A,B,C,B,D,B,D,D,D,D,A,C,Cybersecurity,Backend Developer,Cloud Engineer
D,A,C,C,C,C,C,C,A,A,D,A,Product Manager,Entrepreneur,UI/UX Designer
D,A,A,B,A,D,B,B,B,B,A,B,UI/UX Designer,Entrepreneur,Product Manager
A,B,A,C,C,C,B,B,B,D,D,B,Software Developer,Cloud Engineer,Backend Developer
B,A,A,C,C,D,A,C,A,B,C,C,Software Developer,Data Scientist,AI Engineer
B,C,D,A,A,C,A,D,D,B,D,C,AI Engineer,Data Scientist,Software Developer
A,A,A,A,D,B,C,C,C,B,D,B,Cybersecurity,Cloud Engineer,Backend Developer
A,A,D,C,D,C,D,D,D,D,D,C,Backend Developer,Cybersecurity,Cloud Engineer
C,A,D,A,C,C,C,B,C,B,B,A,AI Engineer,Data Scientist,Researcher
B,C,A,B,D,D,C,A,B,D,A,C,AI Engineer,Data Scientist,Software Developer
C,D,C,C,D,A,D,C,B,B,A,C,UX Designer,Data Scientist,Researcher
D,D,D,C,A,B,D,C,C,D,C,C,UI/UX Designer,Product Manager,Entrepreneur
D,A,C,B,B,C,C,D,C,B,D,B,Entrepreneur,UI/UX Designer,Product Manager
D,D,B,A,C,C,B,C,B,C,C,C,UX Designer,UI/UX Designer,Entrepreneur
C,B,D,A,A,D,B,A,D,D,C,D,Software Developer,Researcher,AI Engineer
D,D,C,A,D,A,C,C,B,C,D,A,UI/UX Designer,Product Manager,Entrepreneur
D,D,A,D,B,A,D,B,D,A,A,A,UX Designer,Product Manager,Entrepreneur
B,A,C,C,B,B,D,D,A,A,B,A,Data Scientist,AI Engineer,Software Developer
A,A,D,A,C,C,B,A,A,B,D,A,Backend Developer,Cybersecurity,Cloud Engineer
A,A,A,A,B,D,D,B,B,A,B,A,Cloud Engineer,Cybersecurity,Backend Developer
A,C,A,D,B,A,D,C,B,C,C,A,Cloud Engineer,Data Scientist,Cybersecurity
B,C,B,A,B,A,B,A,B,C,A,A,Data Scientist,Software Developer,AI Engineer
C,C,D,A,D,C,B,C,A,A,B,D,Researcher,Data Scientist,AI Engineer
C,C,C,C,D,B,D,B,D,C,A,B,Data Scientist,AI Engineer,Researcher
B,C,C,A,B,D,B,A,D,D,C,C,AI Engineer,Data Scientist,Software Developer
A,C,C,C,C,A,B,D,B,C,D,C,Backend Developer,Data Scientist,Cloud Engineer
C,C,D,B,A,A,A,A,C,D,C,B,Data Scientist,Researcher,AI Engineer
C,C,B,A,D,B,D,C,D,A,C,D,Data Scientist,AI Engineer,Researcher
C,A,D,D,D,C,D,D,C,A,A,A,Researcher,Data Scientist,AI Engineer
B,C,C,D,A,C,D,B,C,D,B,D,AI Engineer,Data Scientist,Software Developer
D,A,C,C,C,A,C,A,D,B,C,A,Product Manager,Entrepreneur,UI/UX Designer
C,C,C,D,D,D,A,B,C,C,C,B,Data Scientist,Researcher,AI Engineer
B,D,A,A,B,A,C,B,A,C,C,D,AI Engineer,Data Scientist,Software Developer
A,C,B,C,A,D,A,D,C,C,D,C,Backend Developer,Cybersecurity,Cloud Engineer
B,A,D,A,A,A,B,C,C,A,C,A,Data Scientist,AI Engineer,Software Developer
B,B,D,C,B,D,C,A,C,D,C,C,Data Scientist,Software Developer,AI Engineer
C,C,C,C,B,A,D,D,C,C,A,A,AI Engineer,Researcher,Data Scientist
B,D,B,C,B,C,C,A,B,C,B,B,Software Developer,UX Designer,Data Scientist
A,C,B,B,A,C,C,D,A,D,D,C,Cloud Engineer,Cybersecurity,Backend Developer
B,D,D,C,A,D,C,B,B,D,A,C,UX Designer,AI Engineer,Data Scientist
B,B,A,A,B,B,C,C,C,D,B,C,Software Developer,Data Scientist,AI Engineer
B,D,C,B,C,D,B,A,C,A,D,B,Software Developer,UX Designer,AI Engineer
B,D,B,D,C,A,C,A,A,A,C,C,AI Engineer,Data Scientist,Software Developer
D,A,C,D,A,C,A,A,B,D,D,A,UI/UX Designer,Entrepreneur,Product Manager
A,A,D,D,A,B,A,A,D,A,B,B,Backend Developer,Cloud Engineer,Cybersecurity
D,A,C,C,B,C,A,B,B,D,A,C,Entrepreneur,UI/UX Designer,Product Manager
C,A,C,C,A,A,D,D,B,A,A,D,Researcher,AI Engineer,Data Scientist
B,A,B,D,C,A,D,C,B,D,B,A,Data Scientist,Software Developer,AI Engineer
B,A,B,D,C,B,B,C,A,B,A,D,Software Developer,Data Scientist,AI Engineer
D,B,A,B,A,B,A,C,B,B,B,C,Entrepreneur,Product Manager,Software Developer
A,D,B,C,C,D,C,C,C,C,D,B,Cloud Engineer,Backend Developer,UX Designer
A,A,D,C,C,A,C,A,C,D,D,C,Cybersecurity,Cloud Engineer,Backend Developer
C,C,C,D,D,A,D,C,D,D,A,B,Data Scientist,AI Engineer,Researcher
A,C,D,A,A,B,D,D,B,C,D,A,Backend Developer,Cybersecurity,Data Scientist
A,A,C,D,C,B,C,D,B,C,D,D,Cybersecurity,Backend Developer,Cloud Engineer
B,D,D,B,A,B,B,A,D,D,B,B,Data Scientist,Software Developer,AI Engineer
A,D,D,D,C,A,D,D,B,C,A,B,Cloud Engineer,Cybersecurity,UX Designer
B,C,A,D,C,A,C,C,D,A,C,D,AI Engineer,Data Scientist,Software Developer
C,D,C,A,D,B,C,A,A,B,D,A,UX Designer,Researcher,Data Scientist
D,C,B,A,A,B,D,B,B,D,C,B,Entrepreneur,Data Scientist,Product Manager
D,A,A,C,C,D,A,C,A,B,B,A,UI/UX Designer,Entrepreneur,Product Manager
A,B,A,B,A,C,A,D,A,B,A,C,Cloud Engineer,Backend Developer,Cybersecurity
C,B,D,D,B,D,D,C,B,A,D,C,AI Engineer,Data Scientist,Software Developer
D,A,A,A,B,B,A,C,B,D,D,A,Product Manager,UI/UX Designer,Entrepreneur
A,A,A,A,C,B,C,D,C,A,A,C,Backend Developer,Cybersecurity,Cloud Engineer
A,B,C,B,C,B,A,D,A,B,C,C,Cloud Engineer,Cybersecurity,Backend Developer
A,C,D,C,A,C,A,A,A,B,B,D,Backend Developer,Data Scientist,Cloud Engineer
C,C,A,B,A,A,B,D,D,D,B,B,Researcher,Data Scientist,AI Engineer
D,D,B,D,C,C,D,A,B,B,A,C,Entrepreneur,UX Designer,UI/UX Designer
A,B,A,C,B,C,B,A,A,C,C,B,Cloud Engineer,Software Developer,Backend Developer
A,A,B,C,B,B,C,B,C,A,A,A,Cybersecurity,Backend Developer,Cloud Engineer
C,A,C,C,C,C,A,D,C,D,A,B,Researcher,Data Scientist,AI Engineer
A,D,C,C,C,B,D,B,A,C,A,A,UX Designer,Cloud Engineer,Backend Developer
D,A,D,A,B,C,C,C,B,A,A,A,UI/UX Designer,Entrepreneur,Product Manager
C,D,A,D,A,C,C,D,A,A,B,A,Data Scientist,Researcher,AI Engineer
C,C,A,A,D,C,A,B,B,B,D,D,Data Scientist,AI Engineer,Researcher
B,C,C,D,D,D,B,D,C,D,B,B,Data Scientist,AI Engineer,Software Developer
D,D,A,C,D,B,D,B,D,D,A,B,Product Manager,UX Designer,UI/UX Designer
D,A,C,D,A,D,D,D,A,D,B,D,UI/UX Designer,Entrepreneur,Product Manager
D,B,C,C,D,D,C,C,B,B,C,D,Entrepreneur,UI/UX Designer,Software Developer
B,D,B,C,D,B,B,C,D,B,C,C,AI Engineer,UX Designer,Software Developer
D,C,B,B,B,D,B,C,A,C,D,A,UI/UX Designer,Product Manager,Data Scientist
C,B,A,D,D,B,C,C,C,B,B,A,Researcher,AI Engineer,Data Scientist
B,C,B,B,A,B,D,B,B,C,B,A,Data Scientist,AI Engineer,Software Developer
B,C,B,B,D,D,B,B,B,D,B,D,AI Engineer,Software Developer,Data Scientist
C,A,A,A,C,C,C,A,B,A,C,B,Data Scientist,AI Engineer,Researcher
C,C,D,A,B,D,D,D,A,A,B,B,AI Engineer,Data Scientist,Researcher
D,C,D,A,D,D,B,C,C,D,B,C,Entrepreneur,Data Scientist,UI/UX Designer
B,C,B,D,A,C,D,B,B,A,D,C,Software Developer,AI Engineer,Data Scientist
D,C,B,D,B,C,C,C,A,C,D,C,UI/UX Designer,Product Manager,Entrepreneur
C,D,D,B,D,A,D,D,A,B,D,B,AI Engineer,Data Scientist,UX Designer
C,B,A,D,C,B,D,A,A,D,C,D,AI Engineer,Researcher,Software Developer
D,C,A,B,D,B,B,D,C,A,A,C,Data Scientist,Product Manager,UI/UX Designer
B,C,C,B,D,A,B,A,B,B,A,C,Software Developer,Data Scientist,AI Engineer
D,D,A,B,C,C,D,B,D,B,C,B,UX Designer,Entrepreneur,Product Manager
B,A,D,B,B,A,C,C,C,A,C,A,Software Developer,AI Engineer,Data Scientist
D,C,D,A,D,B,A,B,B,A,D,D,Product Manager,Data Scientist,Entrepreneur
B,A,B,B,D,D,C,C,A,A,A,B,Software Developer,Data Scientist,AI Engineer
